        0x00, 	"OS_WriteC", 0x1, 0x0
        0x4F, 	"OS_HeapSort", 0x7f, 0x0
        0x50, 	"OS_ExitAndDie", 0xf, 0x0
        0x51, 	"OS_ReadMemMapInfo", 0x0, 0x3
        0x52, 	"OS_ReadMemMapEntries", 0x1, 0x0
        0x53, 	"OS_SetMemMapEntries", 0x1, 0x0
        0x54, 	"OS_AddCallBack", 0x3, 0x0
        0x55, 	"OS_ReadDefaultHandler", 0x1, 0xe
        0x56, 	"OS_SetECFOrigin", 0x3, 0x0
        0x57, 	"OS_SerialOp", 0x7, 0x6
        0x58, 	"OS_ReadSysInfo", 0x1, 0x1f
        0x59, 	"OS_Confirm", 0x0, 0x1
        0x5A, 	"OS_ChangedBox", 0x1, 0x3
        0x5B, 	"OS_CRC", 0xf, 0x1
        0x5C, 	"OS_ReadDynamicArea", 0x1, 0x7
        0x5D, 	"OS_PrintChar", 0x1, 0x0
        0x5E, 	"OS_ChangeRedirection", 0x3, 0x3
        0x5F, 	"OS_RemoveCallBack", 0x3, 0x0
        0x60, 	"OS_FindMemMapEntries", 0x1, 0x0
        0x61, 	"OS_SetColour", 0x3, 0x0
        0x64, 	"OS_Pointer", 0x15e, 0x1c
        0x65, 	"OS_ScreenMode", 0xc7, 0xc6
        0x66, 	"OS_DynamicArea", 0x1ff, 0x1fe
        0x68, 	"OS_Memory", 0x3, 0x6
        0x69, 	"OS_ClaimProcessorVector", 0x7, 0x2
        0x6A, 	"OS_Reset", 0x0, 0x0
        0x6B, 	"OS_MMUControl", 0x7, 0x6
        0xC0, 	"OS_ConvertStandardDateAndTime", 0x7, 0x7
        0xC1, 	"OS_ConvertDateAndTime", 0xf, 0x7
        0xD0, 	"OS_ConvertHex1", 0x7, 0x7
        0xD1, 	"OS_ConvertHex2", 0x7, 0x7
        0xD2, 	"OS_ConvertHex3", 0x7, 0x7
        0xD3, 	"OS_ConvertHex4", 0x7, 0x7
        0xD4, 	"OS_ConvertHex8", 0x7, 0x7
        0xD5, 	"OS_ConvertCardinal1", 0x7, 0x7
        0xD6, 	"OS_ConvertCardinal2", 0x7, 0x7
        0xD7, 	"OS_ConvertCardinal3", 0x7, 0x7
        0xD8, 	"OS_ConvertCardinal4", 0x7, 0x7
        0xD9, 	"OS_ConvertInteger1", 0x7, 0x7
        0xDA, 	"OS_ConvertInteger2", 0x7, 0x7
        0xDB, 	"OS_ConvertInteger3", 0x7, 0x7
        0xDC, 	"OS_ConvertInteger4", 0x7, 0x7
        0xDD, 	"OS_ConvertBinary1", 0x7, 0x7
        0xDE, 	"OS_ConvertBinary2", 0x7, 0x7
        0xDF, 	"OS_ConvertBinary3", 0x7, 0x7
        0xE0, 	"OS_ConvertBinary4", 0x7, 0x7
        0xE1, 	"OS_ConvertSpacedCardinal1", 0x7, 0x7
        0xE2, 	"OS_ConvertSpacedCardinal2", 0x7, 0x7
        0xE3, 	"OS_ConvertSpacedCardinal3", 0x7, 0x7
        0xE4, 	"OS_ConvertSpacedCardinal4", 0x7, 0x7
        0xE5, 	"OS_ConvertSpacedInteger1", 0x7, 0x7
        0xE6, 	"OS_ConvertSpacedInteger2", 0x7, 0x7
        0xE7, 	"OS_ConvertSpacedInteger3", 0x7, 0x7
        0xE8, 	"OS_ConvertSpacedInteger4", 0x7, 0x7
        0xE9, 	"OS_ConvertFixedNetStation", 0x7, 0x7
        0xEA, 	"OS_ConvertNetStation", 0x7, 0x7
        0xEB, 	"OS_ConvertFixedFileSize", 0x7, 0x7
        0xEC, 	"OS_ConvertFileSize", 0x7, 0x7
        0x40080, 	"Font_CacheAddr", 0x0, 0xD
        0x40081, 	"Font_FindFont", 0x3e, 0x31
        0x40082, 	"Font_LoseFont", 0x1, 0x0
        0x40083, 	"Font_ReadDefn", 0xb, 0xfc
        0x40084, 	"Font_ReadInfo", 0x1, 0x1e
        0x40085, 	"Font_StringWidth", 0x3e, 0x3e
        0x40086, 	"Font_Paint", 0xff, 0x0
        0x40087, 	"Font_Caret", 0x1f, 0x0
        0x40088, 	"Font_ConverttoOS", 0x6, 0x6
        0x40089, 	"Font_Converttopoints", 0x6, 0x7
        0x4008A, 	"Font_SetFont", 0x1, 0x0
        0x4008B, 	"Font_CurrentFont", 0x0, 0xf
        0x4008C, 	"Font_FutureFont",  0x0, 0xf
        0x4008D, 	"Font_FindCaret", 0xe, 0x3e
        0x4008E, 	"Font_CharBBox", 0x7, 0x1e
        0x4008F, 	"Font_ReadScaleFactor", 0x0, 0x6
        0x40090, 	"Font_SetScaleFactor", 0x6, 0x0
        0x40091, 	"Font_ListFonts", 0x7e, 0x2c
        0x40092, 	"Font_SetFontColours", 0xf, 0x0
        0x40093, 	"Font_SetPalette", 0x7e, 0x0
        0x40094, 	"Font_ReadThresholds", 0x2, 0x0
        0x40095, 	"Font_SetThresholds", 0x2, 0x0
        0x40096, 	"Font_FindCaretJ", 0x3e, 0x3e
        0x40097, 	"Font_StringBBox", 0x2, 0x1e
        0x40098, 	"Font_ReadColourTable", 0x2, 0x0
        0x40099, 	"Font_MakeBitmap", 0x7e, 0x0
        0x4009A, 	"Font_UnCacheFile", 0x6, 0x0
        0x4009B, 	"Font_SetFontMax", 0xff, 0x0
        0x4009C, 	"Font_ReadFontMax", 0x0, 0xff
        0x4009D, 	"Font_ReadFontPrefix", 0x7, 0x6
        0x4009E, 	"Font_SwitchOutputToBuffer", 0x3, 0x3
        0x4009F, 	"Font_ReadFontMetrics", 0xff, 0xff
        0x400A0, 	"Font_DecodeMenu", 0x1f, 0x1c
        0x400A1, 	"Font_ScanString", 0xff, 0x9a
        0x400A3, 	"Font_CurrentRGB", 0x0, 0xf
        0x400A4, 	"Font_FutureRGB", 0x0, 0xf
        0x400A5, 	"Font_ReadEncodingFilename", 0x7, 0x7
        0x400A6, 	"Font_FindField", 0x6, 0x6
        0x400A7, 	"Font_ApplyFields", 0xf, 0x8
        0x400A8, 	"Font_LookupFont", 0x7, 0xfc
        0x400C0, 	"Wimp_Initialise", 0xf, 0x3
        0x400C1, 	"Wimp_CreateWindow", 0x2, 0x1
        0x400C2, 	"Wimp_CreateIcon", 0x3, 0x1
        0x400C3, 	"Wimp_DeleteWindow", 0x2, 0x2
        0x400C4, 	"Wimp_DeleteIcon", 0x2, 0x2
        0x400C5, 	"Wimp_OpenWindow", 0x2f, 0x6
        0x400C6, 	"Wimp_CloseWindow", 0xe, 0x1
        0x400C7, 	"Wimp_Poll", 0xb, 0x7
        0x400C8, 	"Wimp_RedrawWindow", 0x2, 0x0
        0x400C9, 	"Wimp_UpdateWindow", 0x2, 0x1
        0x400CA, 	"Wimp_GetRectangle", 0x2, 0x1
        0x400CB, 	"Wimp_GetWindowState", 0x6, 0xe
        0x400CC, 	"Wimp_GetWindowInfo", 0x2, 0x2
        0x400CD, 	"Wimp_SetIconState", 0x2, 0x1
        0x400CE, 	"Wimp_GetIconState", 0x2, 0x2
        0x400CF, 	"Wimp_GetPointerInfo", 0x2, 0x1
        0x400D0, 	"Wimp_DragBox", 0xe, 0x1
        0x400D1, 	"Wimp_ForceRedraw", 0x1f, 0x1
        0x400D2, 	"Wimp_SetCaretPosition", 0x3f, 0x0
        0x400D3, 	"Wimp_GetCaretPosition", 0x2, 0x1
        0x400D4, 	"Wimp_CreateMenu", 0xe, 0x1
        0x400D5, 	"Wimp_DecodeMenu", 0xe, 0x1
        0x400D6, 	"Wimp_WhichIcon", 0xf, 0x1
        0x400D7, 	"Wimp_SetExtent", 0x3, 0x1
        0x400D8, 	"Wimp_SetPointerShape", 0x3f, 0x1
        0x400D9, 	"Wimp_OpenTemplate", 0x2, 0x1
        0x400DA, 	"Wimp_CloseTemplate", 0x0, 0x1
        0x400DB, 	"Wimp_LoadTemplate", 0x7e, 0x7d
        0x400DC, 	"Wimp_ProcessKey", 0x1, 0x1
        0x400DD, 	"Wimp_CloseDown", 0x3, 0x1
        0x400DE, 	"Wimp_StartTask", 0x1, 0x1
        0x400DF, 	"Wimp_ReportError", 0x3f, 0x3
        0x400E0, 	"Wimp_GetWindowOutline", 0x2, 0x3
        0x400E1, 	"Wimp_PollIdle", 0xf, 0x7
        0x400E2, 	"Wimp_PlotIcon", 0x36, 0x1
        0x400E3, 	"Wimp_SetMode", 0x1, 0x1
        0x400E4, 	"Wimp_SetPalette", 0x2, 0x1
        0x400E5, 	"Wimp_ReadPalette", 0x6, 0x1
        0x400E6, 	"Wimp_SetColour", 0x1, 0x1
        0x400E7, 	"Wimp_SendMessage", 0xf, 0x5
        0x400E8, 	"Wimp_CreateSubMenu", 0xe, 0x1
        0x400E9, 	"Wimp_SpriteOp", 0xff, 0x7e
        0x400EA, 	"Wimp_BaseOfSprites", 0x0, 0x3
        0x400EB, 	"Wimp_BlockCopy", 0x7f, 0x0
        0x400EC, 	"Wimp_SlotSize", 0x3, 0x7
        0x400ED, 	"Wimp_ReadPixTrans", 0xc7, 0xc1
        0x400EE, 	"Wimp_ClaimFreeMemory", 0x3, 0x7,
        0x400EF, 	"Wimp_CommandWindow", 0x1, 0x1
        0x400F0, 	"Wimp_TextColour", 0x1, 0x1
        0x400F1, 	"Wimp_TransferBlock", 0x1f, 0x1
        0x400F2, 	"Wimp_ReadSysInfo", 0x1, 0x3
        0x400F3, 	"Wimp_SetFontColours", 0x6, 0x1
        0x400F4, 	"Wimp_GetMenuState", 0xf, 0x3
        0x400F5, 	"Wimp_RegisterFilter", 0x0, 0x0
        0x400F6, 	"Wimp_AddMessages", 0x1, 0x0
        0x400F7, 	"Wimp_RemoveMessages", 0x0
        0x400F8, 	"Wimp_SetColourMapping", 0xff, 0x0
        0x400F9, 	"Wimp_TextOp", 0x1, 0x1
        0x400FA, 	"Wimp_SetWatchdogState", 0x3, 0x0
        0x400FB, 	"Wimp_Extend", 0x1, 0x0
        0x400FC, 	"Wimp_ResizeIcon", 0x3f, 0x0
